id,codigo,bairro_nome,area_km2,perimeter_m
37,642,centro,1952,6356762
217,1133,savassi,1186,4651164
18,623,buritis,3823,7961025
98,715,lourdes,1258,4976891
141,765,santa efigenia,2139,7891642
137,760,sagrada familia,2291,7026277
154,778,santo antonio,1306,5509535
34,639,castelo,2409,6788666
152,776,santo agostinho,0.83,3905916
12,617,barro preto,1094,4164475
172,797,serra,1536,6053715
176,801,sion,1195,6083852
121,739,padre eustaquio,2969,9954567
69,681,funcionarios,668,4207212
75,689,gutierrez,1246,6182164
120,738,ouro preto,2363,9951648
139,762,santa amelia,2202,7410422
132,752,prado,1584,6582447
59,667,estoril,1697,6903721
148,772,santa monica,2178,8624389
130,750,planalto,2.5,10097252
116,734,nova suissa,1251,4887604
13,618,belvedere,2921,15341527
40,645,cidade nova,913,3821.4
6,607,anchieta,697,3619.54
68,679,floresta,1096,5971.13
161,785,sao joao batista,1847,10968998
26,631,camargos,1.85,7687215
31,636,carlos prates,1896,8586831
150,774,santa tereza,1551,7814.13
144,768,santa lucia,2.11,9646137
23,628,caicaras,2246,8686832
183,808,uniao,1401,5972876
50,657,cruzeiro,531,4134239
140,763,santa cruz,1741,6868672
38,643,ceu azul,2748,9268859
76,690,havai,1577,7688358
83,699,itapoa,1629,5299.77
82,698,ipiranga,892,4545.06
138,761,salgado filho,1448,6508076
168,792,sao pedro,583,4750363
228,1148,diamante,1844,9861182
99,716,luxemburgo,622,3881473
481,1491,barreiro,1583,5845583
125,743,paqueta,1455,8998918
166,790,piratininga,1694,8662.67
234,1156,boa viagem,235,2074518
41,646,colegio batista,777,3856286
55,662,dona clara,791,4458.76
97,714,lindeia,2012,7841381
86,702,jardim america,0.92,7848198
201,828,copacabana,1361,9431048
102,719,mantiqueira,2923,10358814
84,700,jaqueline,2.94,10082916
22,627,caicara adelaide,779,5084644
71,684,gloria,1654,7702871
49,656,coracao eucaristico,1027,6302985
48,655,coracao de jesus,284,2676308
193,818,rio branco,1339,6644891
221,1141,araguaia,1344,5755997
15,620,boa vista,1248,6209.44
72,686,grajau,426,3222393
114,732,nova granada,624,4550104
126,744,paraiso,1.32,6738824
151,775,santa terezinha,1476,5327344
180,805,tirol,1744,8194156
32,637,carmo,314,2404401
2,602,alipio de melo,1181,5291796
173,798,serrano,1082,8071.33
24,629,calafate,1044,8503124
143,767,santa ines,1.13,5046434
128,748,pindorama,1605,7034.95
122,740,palmares,697,4463.19
36,641,sao luiz,2766,10787448
187,812,goiania,1955,8729558
87,703,jardim dos comerciarios,2016,8782952
124,742,bandeirantes,4776,13884018
262,1253,silveira,344,3500247
216,1065,jardim guanabara,1154,4961.53
149,773,santa rosa,688,3735.39
337,1343,manacas,696,3606945
135,758,renascenca,0.86,4183576
105,722,milionarios,1315,5974.87
212,926,fernao dias,505,3182787
159,783,sao gabriel,2001,9417757
58,666,esplanada,824,3625919
