bairro_nome,qtd_lancamentos,valor_total_lancado
centro,29534,82920123
savassi,22785,98527386
buritis,21767,63438560
lourdes,19606,97164595
santa efigenia,15513,50137982
sagrada familia,14284,29499123
santo antonio,14248,44797894
castelo,13635,34495989
santo agostinho,12021,58164728
barro preto,11672,35509192
serra,11597,48625089
sion,10976,47569762
padre eustaquio,10950,26328090
funcionarios,10078,46757302
gutierrez,9596,36353624
ouro preto,9240,20958638
santa amelia,9144,16056191
prado,8600,22037382
estoril,7819,27944399
santa monica,7262,12537968
planalto,7087,18856978
nova suissa,7074,15420381
belvedere,7032,69245199
cidade nova,7026,22258327
anchieta,6837,30382855
floresta,6748,18233513
sao joao batista,6406,11071245
camargos,6362,9391658
carlos prates,6118,17736352
santa tereza,6010,12761013
santa lucia,5984,33783686
caicaras,5733,26407154
uniao,5377,20829710
cruzeiro,5310,19890934
santa cruz,5296,12756737
ceu azul,5271,10115517
havai,5074,7935559
itapoa,5064,13823187
ipiranga,5043,12380311
salgado filho,4924,8804715
sao pedro,4732,18450296
diamante,4657,8320764
luxemburgo,4465,21176272
barreiro,4433,22058656
paqueta,4401,10190979
piratininga,4317,6461041
boa viagem,4310,14638546
colegio batista,4214,8212199
dona clara,4204,9038934
lindeia,4160,8050673
jardim america,4077,8404239
copacabana,4072,6108380
mantiqueira,4040,7241206
jaqueline,3985,8712439
caicara adelaide,3801,8595552
gloria,3716,11162631
coracao eucaristico,3657,8173560
coracao de jesus,3627,12268212
rio branco,3424,5926146
araguaia,3419,6221737
boa vista,3401,7130146
grajau,3336,8389172
nova granada,3287,7216418
paraiso,3282,6380521
santa terezinha,3208,6382243
tirol,3198,6516101
carmo,3175,14276304
alipio de melo,3174,7905064
serrano,3160,6291340
calafate,3146,7651380
santa ines,3122,7691176
pindorama,3060,5776736
palmares,3047,9207872
sao luiz,2993,17281006
goiania,2991,6297445
jardim dos comerciarios,2988,5212989
bandeirantes,2884,15947655
silveira,2859,7489849
jardim guanabara,2848,5058126
santa rosa,2848,5973834
manacas,2792,4289278
renascenca,2762,6269894
milionarios,2761,5179735
fernao dias,2730,5855003
sao gabriel,2703,4888152
esplanada,2656,5859812
joao pinheiro,2631,5151025
santa branca,2594,5503810
jardim vitoria,2571,5150640
heliopolis,2554,4669525
cinquentenario,2513,4529792
alto caicaras,2492,6721508
concordia,2488,5566118
cachoeirinha,2466,10047677
dom bosco,2440,5743819
sao geraldo,2433,5508678
cardoso,2407,4739098
liberdade,2373,6890994
floramar,2336,5523598
paulo vi,2283,2932033
ribeiro de abreu,2274,4097634
graca,2258,5554813
alto barroca,2172,4840150
aparecida,2155,4656048
betania,2089,5148537
candelaria,2054,4613758
estrela do oriente,2026,5996188
california,2012,5402386
minascaixa,2004,3825058
trevo,1961,3620337
jardim leblon,1942,3011145
jaragua,1938,5068049
santa helena,1934,4070838
vila cloris,1934,10005488
nova gameleira,1920,3546305
sao bento,1885,11165615
serra verde,1879,2826828
nova vista,1849,4245341
tupi a,1833,3331563
indaia,1826,4156020
jardim montanhes,1813,4067876
leticia,1811,3797471
sao lucas,1810,5051897
vila paris,1802,8071773
tupi b,1798,3705755
monsenhor messias,1793,3575390
palmeiras,1792,4508003
santa maria,1791,3064764
bonfim,1787,6871309
nova cachoeirinha,1747,2800097
bairro das industrias i,1746,13478769
jardim alvorada,1733,3211974
sao bernardo,1719,3967467
sao francisco,1702,9129955
europa,1688,2950833
nova floresta,1640,4283871
novo gloria,1598,3057555
santo andre,1589,4261036
minaslandia,1544,3486755
guarani,1538,4090897
maria goretti,1537,2954493
coqueiros,1502,2840363
cidade jardim,1500,8941794
minas brasil,1492,3525691
olaria,1484,1890549
nazare,1471,2844913
pompeia,1470,3487913
novo sao lucas,1461,3245376
dom cabral,1427,2507111
horto,1424,5306197
barroca,1410,3594699
conjunto california i,1408,1719073
venda nova,1395,13085329
flavio marques lisboa,1368,2692089
dom joaquim,1365,9200433
brasil industrial,1360,2654507
oeste,1313,2997193
maria helena,1297,3034642
sao jose,1286,4105293
itaipu,1278,2493755
miramar,1270,2983095
juliana,1244,2692404
lagoinha,1232,3023931
teixeira dias,1231,1974977
aeroporto,1191,2851687
jardim sao jose,1190,2726751
sao marcos,1185,2205276
sao salvador,1166,3205667
alpes,1158,2704863
providencia,1153,1911536
lagoinha leblon,1144,2498973
